Date,Open,High,Low,Close,Adj Close,Volume
2020-01-28,46.200001,46.889999,46.139999,46.849998,46.268944,263700
2020-01-29,46.959999,47.020000,46.509998,46.580002,46.002296,201800
2020-01-30,45.810001,46.110001,45.520000,46.000000,45.429489,165500
2020-01-31,45.369999,45.369999,44.450001,44.630001,44.076481,223300
2020-02-03,44.860001,45.330002,44.770000,45.000000,44.441891,197300
2020-02-04,45.490002,45.639999,45.439999,45.529999,44.965317,146000
2020-02-05,46.119999,46.169998,45.619999,45.830002,45.261600,138400
2020-02-06,45.439999,45.860001,45.310001,45.799999,45.231968,129600
2020-02-07,45.189999,45.459999,45.060001,45.119999,44.560402,221300
2020-02-10,44.990002,45.320000,44.930000,45.259998,44.698666,130000
2020-02-11,45.759998,45.930000,45.680000,45.770000,45.202343,181000
2020-02-12,46.070000,46.509998,45.349998,45.860001,45.291225,397100
2020-02-13,43.400002,44.240002,43.259998,44.049999,43.503674,319300
2020-02-14,44.070000,44.200001,43.869999,44.000000,43.454292,188600
2020-02-18,42.500000,43.230000,42.439999,43.090000,42.555580,262100
2020-02-19,42.950001,43.240002,42.950001,43.040001,42.506203,345300
2020-02-20,42.910000,43.110001,42.320000,42.779999,42.249424,110400
2020-02-21,42.520000,42.639999,42.200001,42.459999,41.933392,99800
2020-02-24,39.869999,40.770000,39.709999,40.380001,39.879192,327700
2020-02-25,40.070000,40.220001,38.959999,39.160000,38.674320,286900
2020-02-26,39.779999,40.090000,39.130001,39.230000,38.743454,241400
2020-02-27,38.669998,39.669998,38.459999,38.509998,38.032383,500800
2020-02-28,37.759998,39.009998,37.639999,38.959999,38.476803,453600
2020-03-02,39.500000,40.169998,38.930000,40.169998,39.671795,470600
2020-03-03,40.240002,40.930000,39.540001,39.720001,39.227379,385200
2020-03-04,40.889999,41.320000,40.209999,41.310001,40.797657,265000
2020-03-05,40.389999,40.779999,39.799999,40.290001,39.790306,326500
2020-03-06,38.830002,39.959999,38.730000,39.790001,39.296509,421800
